Publish time,Page name,Duration (sec),Date,Reach,3-second video views,Seconds viewed,Average Seconds viewed,"Reactions, Comments and Shares",Reactions,Comments,Shares,Impressions,1-minute video views,3-Second viewers,1-minute viewers
1/3/2024,Astrofluenced,852,Lifetime,41,25,1076.16,18.88,3,1,0,2,47,5,16,4
3/8/2024,Astrofluenced,35,Lifetime,3,3,42.456,10.614,0,0,0,0,,,,
3/6/2024,Astrofluenced,40,Lifetime,5,3,77.635,19.408,0,0,0,0,,,,
2/25/2024,Astrofluenced,51,Lifetime,1,1,10.275,2.568,0,0,0,0,,,,
2/25/2024,Astrofluenced,50,Lifetime,3,1,30.974,15.487,0,0,0,0,,,,
2/24/2024,Astrofluenced,42,Lifetime,2,3,31.611,7.902,1,1,0,0,,,,
2/22/2024,Astrofluenced,51,Lifetime,6,4,27.904,3.1,0,0,0,0,,,,
2/21/2024,Astrofluenced,42,Lifetime,11,13,249.688,5.548,6,4,1,1,,,,
1/19/2024,Astrofluenced,46,Lifetime,13,8,176.965,11.797,0,0,0,0,,,,
1/10/2024,Astrofluenced,9,Lifetime,13,4,74.436,4.962,0,0,0,0,,,,
1/9/2024,Astrofluenced,12,Lifetime,2,2,18,4.5,0,0,0,0,,,,
1/9/2024,Astrofluenced,10,Lifetime,3,2,13.827,3.456,0,0,0,0,,,,
1/9/2024,Astrofluenced,12,Lifetime,7,6,64.107,6.41,0,0,0,0,,,,
1/9/2024,Astrofluenced,19,Lifetime,2,1,14.044,7.022,0,0,0,0,,,,
1/9/2024,Astrofluenced,9,Lifetime,2,1,3.494,3.494,0,0,0,0,,,,
1/6/2024,Astrofluenced,35,Lifetime,5,2,19.742,4.935,0,0,0,0,,,,
1/6/2024,Astrofluenced,35,Lifetime,135,89,2147.252,15.447,6,4,2,0,,,,
1/4/2024,Astrofluenced,46,Lifetime,4,2,32.189,10.729,0,0,0,0,,,,
2/21/2024,Astrofluenced,37,Lifetime,5,1,11.24,1.873,1,1,0,0,6,0,1,0
2/21/2024,Astrofluenced,5,Lifetime,9,2,43.203,6.171,2,2,0,0,10,0,2,0
2/5/2024,Astrofluenced,684,Lifetime,6,3,63.315,3.957,0,0,0,0,9,0,2,0
2/1/2024,Astrofluenced,787,Lifetime,1,1,9.86,9.86,0,0,0,0,1,0,1,0
1/30/2024,Astrofluenced,787,Lifetime,65,26,471.909,6.741,2,1,0,1,73,1,19,1
1/17/2024,Astrofluenced,88,Lifetime,15,5,81.603,1.665,1,1,0,0,17,0,5,0
1/17/2024,Astrofluenced,190,Lifetime,4,4,389.544,77.908,1,1,0,0,8,2,3,2
1/16/2024,Astrofluenced,36,Lifetime,40,37,1081.848,26.386,1,1,0,0,44,0,35,0
1/9/2024,Astrofluenced,61,Lifetime,151,144,5243.426,28.652,5,2,2,1,187,23,109,20
1/7/2024,Astrofluenced,124,Lifetime,1,0,0,0,0,0,0,0,1,0,0,0
1/7/2024,Astrofluenced,124,Lifetime,111,40,750,6.756,9,3,4,2,128,2,31,2
1/7/2024,Astrofluenced,124,Lifetime,1,0,0,0,0,0,0,0,1,0,0,0
1/7/2024,Astrofluenced,124,Lifetime,1,0,0,0,0,0,0,0,1,0,0,0
1/6/2024,Astrofluenced,244,Lifetime,7,1,5.862,1.954,0,0,0,0,11,0,1,0
1/6/2024,Astrofluenced,59,Lifetime,5,2,18.071,4.517,1,1,0,0,7,0,2,0
1/3/2024,Astrofluenced,57,Lifetime,6,1,39.984,7.996,1,1,0,0,6,0,1,0
,,,,686,437,12320.624,340.695,40,24,9,7,557,33,228,29